ORIGINAL_VALUE,STANDARD_VALUE,CATEGORY_TYPE,SOURCE_SYSTEM
CMTND,CMT,loai_gttt,SHB
CMTQD,CMT,loai_gttt,SHB
CCCD,CCCD,loai_gttt,SHB
"THE CAN CUOC",CCCD,loai_gttt,SHB
"Ho chieu","HO CHIEU",loai_gttt,SHB
SYR,Syria,quoc_tich,SHB
SY,Syria,quoc_tich,SHB
Syria,Syria,quoc_tich,SHB
IRN,Iran,quoc_tich,SHB
IR,Iran,quoc_tich,SHB
Iran,Iran,quoc_tich,SHB
AFG,Afghanistan,quoc_tich,SHB
AF,Afghanistan,quoc_tich,SHB
Afghanistan,Afghanistan,quoc_tich,SHB
VNM,Vietnam,quoc_tich,SHB
VN,Vietnam,quoc_tich,SHB
Vietnam,Vietnam,quoc_tich,SHB
PRK,"North Korea",quoc_tich,SHB
KP,"North Korea",quoc_tich,SHB
"North Korea","North Korea",quoc_tich,SHB
Afghanistan,Afghanistan,kiem_soat,SHB
